[2018-05-09 00:14:41] [INFO] 启动chrome浏览器
[2018-05-09 00:14:47] [INFO] 打开网址http://127.0.0.1:8088/Discuz_X3.2_SC_GBK/upload/forum.php
[2018-05-09 00:14:47] [INFO] 找到对元素
[2018-05-09 00:14:47] [INFO] 输入成功
[2018-05-09 00:14:47] [INFO] 找到对元素
[2018-05-09 00:14:48] [INFO] 输入成功
[2018-05-09 00:14:48] [INFO] 找到对元素
[2018-05-09 00:14:48] [INFO] 点击成功
[2018-05-09 00:14:53] [INFO] 找到对元素
[2018-05-09 00:14:55] [INFO] 点击成功
[2018-05-09 00:14:57] [INFO] 找到对元素
[2018-05-09 00:14:57] [INFO] 输入成功
[2018-05-09 00:14:57] [INFO] 找到对元素
[2018-05-09 00:14:57] [INFO] 输入成功
[2018-05-09 00:14:59] [INFO] 找到对元素
[2018-05-09 00:15:02] [INFO] 点击成功
[2018-05-09 00:15:04] [INFO] 找到对元素
[2018-05-09 00:15:05] [INFO] 点击成功
[2018-05-09 00:15:05] [ERROR] 未找到对应元素
