[2018-05-09 00:17:51] [INFO] 启动chrome浏览器
[2018-05-09 00:17:57] [INFO] 打开网址http://127.0.0.1:8088/Discuz_X3.2_SC_GBK/upload/forum.php
[2018-05-09 00:17:58] [INFO] 找到对元素
[2018-05-09 00:17:58] [INFO] 输入成功
[2018-05-09 00:17:58] [INFO] 找到对元素
[2018-05-09 00:17:58] [INFO] 输入成功
[2018-05-09 00:17:58] [INFO] 找到对元素
[2018-05-09 00:17:58] [INFO] 点击成功
[2018-05-09 00:18:03] [INFO] 找到对元素
[2018-05-09 00:18:05] [INFO] 点击成功
[2018-05-09 00:18:05] [INFO] 找到对元素
[2018-05-09 00:18:05] [INFO] 点击成功
[2018-05-09 00:18:05] [INFO] 找到对元素
[2018-05-09 00:18:06] [INFO] 点击成功
[2018-05-09 00:18:06] [INFO] 找到对元素
[2018-05-09 00:18:06] [INFO] 输入成功
[2018-05-09 00:18:08] [INFO] 找到对元素
[2018-05-09 00:18:11] [INFO] 点击成功
[2018-05-09 00:18:11] [INFO] 找到对元素
[2018-05-09 00:18:11] [INFO] 点击成功
[2018-05-09 00:18:14] [INFO] 找到对元素
[2018-05-09 00:18:14] [INFO] 输入成功
[2018-05-09 00:18:14] [INFO] 找到对元素
[2018-05-09 00:18:20] [INFO] 点击成功
[2018-05-09 00:18:22] [INFO] 找到对元素
[2018-05-09 00:18:24] [INFO] 点击成功
[2018-05-09 00:18:29] [INFO] 找到对元素
[2018-05-09 00:18:29] [INFO] 点击成功
[2018-05-09 00:18:31] [INFO] 找到对元素
[2018-05-09 00:18:31] [INFO] 清除成功
[2018-05-09 00:18:31] [INFO] 找到对元素
[2018-05-09 00:18:31] [INFO] 输入成功
[2018-05-09 00:18:33] [INFO] 找到对元素
[2018-05-09 00:18:33] [INFO] 点击成功
[2018-05-09 00:18:36] [INFO] 找到对元素
[2018-05-09 00:18:37] [INFO] 点击成功
[2018-05-09 00:18:37] [ERROR] 未找到对应元素
