[2018-05-09 00:10:53] [INFO] 启动chrome浏览器
[2018-05-09 00:11:00] [INFO] 打开网址http://127.0.0.1:8088/Discuz_X3.2_SC_GBK/upload/forum.php
[2018-05-09 00:11:00] [INFO] 找到对元素
[2018-05-09 00:11:00] [INFO] 输入成功
[2018-05-09 00:11:00] [INFO] 找到对元素
[2018-05-09 00:11:00] [INFO] 输入成功
[2018-05-09 00:11:00] [INFO] 找到对元素
[2018-05-09 00:11:00] [INFO] 点击成功
[2018-05-09 00:11:06] [INFO] 找到对元素
[2018-05-09 00:11:07] [INFO] 点击成功
[2018-05-09 00:11:07] [INFO] 找到对元素
[2018-05-09 00:11:07] [INFO] 点击成功
[2018-05-09 00:11:07] [INFO] 找到对元素
[2018-05-09 00:11:09] [INFO] 点击成功
[2018-05-09 00:11:09] [INFO] 找到对元素
[2018-05-09 00:11:09] [INFO] 输入成功
[2018-05-09 00:11:11] [INFO] 找到对元素
[2018-05-09 00:11:13] [INFO] 点击成功
[2018-05-09 00:11:14] [INFO] 找到对元素
[2018-05-09 00:11:14] [INFO] 点击成功
[2018-05-09 00:11:17] [INFO] 找到对元素
[2018-05-09 00:11:17] [INFO] 输入成功
[2018-05-09 00:11:17] [INFO] 找到对元素
[2018-05-09 00:11:23] [INFO] 点击成功
[2018-05-09 00:11:25] [INFO] 找到对元素
[2018-05-09 00:11:26] [INFO] 点击成功
[2018-05-09 00:11:31] [INFO] 找到对元素
[2018-05-09 00:11:31] [INFO] 点击成功
[2018-05-09 00:11:33] [INFO] 找到对元素
[2018-05-09 00:11:33] [INFO] 清除成功
[2018-05-09 00:11:33] [INFO] 找到对元素
[2018-05-09 00:11:34] [INFO] 输入成功
[2018-05-09 00:11:36] [INFO] 找到对元素
[2018-05-09 00:11:36] [INFO] 点击成功
[2018-05-09 00:11:38] [INFO] 找到对元素
[2018-05-09 00:11:39] [INFO] 点击成功
[2018-05-09 00:11:39] [ERROR] 未找到对应元素
